CustomerID,TotalOrders,TotalSpent,AverageSpent,ItemsBought,CanceledInvoices,MostFrequentDay,MostFrequentHour,ProductDiversity,FirstPurchase,LastPurchase,Country,LifeTime,Recency
12372,3,1298.04,24.962307692307693,794,0,Wednesday,12,34,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,224,71
12373,1,364.6,26.042857142857144,197,0,Tuesday,13,14,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,0,310
12374,1,742.9300000000001,22.513030303030305,342,0,Monday,15,33,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,0,24
12375,2,455.42,25.301111111111112,177,1,Friday,14,14,2011-09-02 14:23:00,2011-12-07 11:27:00,Finland,95,2
12377,2,1628.12,21.144415584415583,944,0,Monday,9,72,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,39,314
12378,1,4008.62,18.30420091324201,2529,0,Tuesday,10,219,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,0,129
12379,2,850.29,20.738780487804878,406,1,Monday,10,39,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,88,81
12380,4,2720.56,25.910095238095238,1126,1,Friday,11,77,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,164,21
12381,2,1803.96,19.823736263736265,783,4,Friday,9,70,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,115,4
12383,5,1839.31,18.3931,1529,1,Wednesday,14,84,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,167,184
12384,0,566.16,18.872,121,3,Wednesday,11,26,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,92,28
12386,2,401.9,40.19,354,0,Wednesday,9,10,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,29,337
12388,6,2780.66,27.8066,1462,0,Thursday,11,57,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,311,15
12390,1,549.84,17.1825,353,0,Wednesday,9,32,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,0,79
12391,1,439.66,4.72752688172043,293,0,Friday,12,92,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,0,21
12393,4,1582.6000000000001,24.728125000000002,816,0,Wednesday,9,47,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,260,71
12394,2,1272.48,47.12888888888889,819,0,Friday,14,26,2011-05-06 14:01:00,2011-10-07 08:08:00,Belgium,153,63
12395,12,2998.28,18.857106918238994,2113,3,Friday,16,91,2010-12-03 16:35:00,2011-11-24 12:20:00,Belgium,355,15
12397,2,2409.9,19.126190476190477,1263,0,Wednesday,14,110,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,99,35
12398,1,1635.6599999999999,19.24305882352941,1394,0,Tuesday,10,85,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland,0,45
12399,4,1108.65,18.790677966101697,1178,0,Tuesday,10,47,2011-03-23 09:42:00,2011-08-12 13:15:00,Belgium,142,118
12401,1,84.3,16.86,11,0,Wednesday,13,5,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium,0,302
12402,1,225.6,20.509090909090908,94,0,Thursday,13,11,2011-01-20 13:49:00,2011-01-20 13:49:00,Belgium,0,322
12403,1,409.7,68.28333333333333,95,1,Friday,10,5,2011-10-21 10:51:00,2011-10-21 11:00:00,Denmark,0,49
12405,1,1710.39,31.67388888888889,857,0,Thursday,8,54,2011-07-14 08:52:00,2011-07-14 08:52:00,Finland,0,148
12406,0,3280.75,30.377314814814813,1809,3,Thursday,19,92,2011-06-09 10:23:00,2011-11-17 19:22:00,Denmark,161,21
12407,5,1708.1200000000001,22.183376623376624,1416,0,Wednesday,9,57,2011-03-20 13:21:00,2011-10-21 10:11:00,Belgium,214,49
12408,1,2842.57,25.155486725663717,1399,8,Friday,10,81,2011-03-24 14:46:00,2011-11-07 12:30:00,Belgium,227,32
12409,2,11056.93,96.99061403508772,5543,5,Friday,12,91,2011-06-10 12:19:00,2011-09-22 10:38:00,Switzerland,103,78
12410,1,681.0799999999999,24.32428571428571,209,2,Friday,10,26,2011-02-04 10:38:00,2011-02-11 15:47:00,Switzerland,7,300
12412,3,1226.88,20.112786885245903,829,0,Monday,13,43,2011-06-23 13:51:00,2011-09-26 10:16:00,Denmark,94,74
12413,3,694.15,17.353749999999998,282,2,Thursday,16,29,2011-01-06 16:12:00,2011-10-04 09:00:00,France,270,66
12414,3,562.41,31.244999999999997,300,0,Wednesday,14,16,2011-02-02 14:51:00,2011-05-06 14:51:00,Austria,93,216
12415,-36,123725.45,159.0301413881748,77242,62,Tuesday,10,444,2011-01-06 11:12:00,2011-11-15 14:22:00,Australia,313,23
12417,6,3578.8,18.074747474747475,1539,6,Thursday,14,158,2010-12-17 11:51:00,2011-12-06 14:52:00,Belgium,354,2
12418,1,668.58,19.664117647058823,407,0,Friday,11,34,2011-08-19 11:08:00,2011-08-19 11:08:00,Switzerland,0,112
12420,1,600.39,20.70310344827586,345,0,Friday,8,29,2011-10-07 08:55:00,2011-10-07 08:55:00,Cyprus,0,63
12421,4,806.27,17.527608695652173,483,1,Sunday,13,33,2011-01-24 15:09:00,2011-11-24 09:07:00,Spain,303,15
12422,3,803.5600000000001,20.604102564102565,370,0,Friday,9,39,2011-01-19 09:13:00,2011-09-05 09:48:00,Australia,229,95
12423,8,1849.11,14.67547619047619,1327,1,Monday,10,97,2010-12-21 10:54:00,2011-12-09 10:10:00,Belgium,352,0
12424,2,1760.96,58.69866666666667,740,0,Thursday,12,30,2011-06-30 12:06:00,2011-06-30 12:06:00,Australia,0,162
12425,1,777.2,21.58888888888889,496,0,Thursday,17,36,2011-09-22 17:31:00,2011-09-22 17:31:00,Portugal,0,77
12426,1,582.73,19.424333333333333,258,0,Sunday,12,30,2011-05-29 12:26:00,2011-05-29 12:26:00,Germany,0,194
12427,1,708.37,20.239142857142856,236,4,Friday,15,26,2010-12-03 10:44:00,2011-11-28 10:48:00,Germany,360,11
12428,6,7877.2,26.25733333333333,3503,6,Tuesday,9,258,2011-03-01 09:33:00,2011-11-14 08:22:00,Finland,257,25
12429,4,3750.4,38.66391752577319,1557,0,Monday,12,82,2010-12-09 12:05:00,2011-11-30 17:22:00,Denmark,356,8
12430,1,256.4,23.30909090909091,117,0,Thursday,15,11,2011-10-27 15:09:00,2011-10-27 15:09:00,Norway,0,42
12431,14,6348.89,26.56439330543933,2858,4,Thursday,14,163,2010-12-01 10:03:00,2011-11-04 11:55:00,Australia,338,35
12432,5,5059.32,46.845555555555556,1801,0,Monday,13,107,2011-06-20 13:27:00,2011-10-28 11:43:00,Norway,129,42
12433,7,13375.87,31.847309523809525,11071,0,Wednesday,13,219,2010-12-01 13:24:00,2011-12-09 10:02:00,Norway,372,0
12434,0,765.19,14.170185185185186,373,4,Friday,12,49,2010-12-14 11:12:00,2011-09-16 12:38:00,Australia,276,84
12435,2,7829.89,217.49694444444447,2055,0,Thursday,7,31,2011-03-17 07:40:00,2011-09-21 09:06:00,Denmark,188,79
12436,1,509.01,31.813125,211,0,Thursday,12,16,2011-09-01 12:09:00,2011-09-01 12:09:00,Norway,0,99
12437,18,4896.66,24.36149253731343,2918,1,Wednesday,9,119,2011-01-12 14:13:00,2011-12-08 11:35:00,France,329,1
12438,2,2906.85,29.66173469387755,1180,0,Friday,13,84,2011-07-22 13:29:00,2011-11-25 13:28:00,Norway,125,13
12441,1,173.55,15.77727272727273,121,0,Wednesday,10,11,2010-12-08 10:45:00,2010-12-08 10:45:00,France,0,366
12442,1,172.06,14.338333333333333,182,0,Tuesday,14,12,2011-12-06 14:22:00,2011-12-06 14:22:00,Spain,0,2
12444,5,5005.46,28.27943502824859,1155,0,Tuesday,14,138,2011-06-21 14:00:00,2011-11-18 13:23:00,Norway,149,20
12445,1,133.4,33.35,62,0,Thursday,18,4,2011-11-17 18:43:00,2011-11-17 18:43:00,Spain,0,21
12446,1,1002.3100000000001,17.281206896551726,352,0,Thursday,12,58,2011-10-13 12:50:00,2011-10-13 12:50:00,RSA,0,57
12447,1,476.49,18.326538461538462,190,0,Sunday,13,26,2011-04-10 13:25:00,2011-04-10 13:25:00,Belgium,0,242
12448,1,449.45,20.429545454545455,243,0,Wednesday,13,22,2011-10-26 13:46:00,2011-10-26 13:46:00,Spain,0,43
12449,4,4067.29,21.294712041884818,1553,0,Thursday,9,118,2011-06-05 15:37:00,2011-11-17 13:46:00,Belgium,164,21
12450,2,197.88,24.735,128,0,Sunday,14,7,2011-06-19 14:36:00,2011-07-06 14:41:00,Spain,17,155
12451,5,8933.52,25.164845070422537,6455,1,Wednesday,9,265,2011-01-19 09:05:00,2011-11-29 08:40:00,Switzerland,313,10
12452,2,428.57,18.633478260869566,183,1,Wednesday,8,21,2011-11-23 08:05:00,2011-11-23 10:28:00,Switzerland,0,16
12453,1,707.09,16.443953488372095,473,0,Thursday,14,43,2011-07-28 14:08:00,2011-07-28 14:08:00,Austria,0,133
12454,-13,5.684341886080802e-14,1.8947806286936005e-15,0,15,Friday,15,15,2011-10-14 17:13:00,2011-10-17 15:07:00,Spain,2,52
12455,6,2466.86,27.409555555555556,2089,0,Wednesday,9,85,2011-02-16 09:56:00,2011-09-27 15:31:00,Spain,223,72
12456,0,3153.89,24.44875968992248,1616,4,Wednesday,15,105,2011-03-30 09:12:00,2011-10-26 14:41:00,Switzerland,210,43
12457,7,1917.78,28.20264705882353,695,5,Wednesday,15,53,2011-04-14 18:57:00,2011-10-12 13:46:00,Switzerland,180,57
12458,2,947.4,24.931578947368422,506,0,Monday,10,35,2011-02-28 10:55:00,2011-09-29 15:25:00,Switzerland,213,70
12461,2,826.88,23.62514285714286,287,0,Friday,10,35,2011-07-08 10:23:00,2011-09-06 16:57:00,Switzerland,60,93
12462,-6,1124.01,15.61125,514,10,Wednesday,14,51,2011-02-09 14:44:00,2011-12-07 14:02:00,Spain,300,1
12463,2,1303.63,14.813977272727273,757,5,Tuesday,13,66,2011-04-12 12:47:00,2011-10-24 13:43:00,Belgium,195,45
12464,8,1212.05,41.79482758620689,112,0,Thursday,13,6,2011-02-03 13:30:00,2011-11-29 13:33:00,Belgium,299,9
12465,-1,733.89,14.39,475,4,Thursday,13,46,2011-06-23 13:37:00,2011-12-02 11:34:00,Belgium,161,7
12468,1,724.0400000000001,18.101000000000003,364,2,Sunday,11,36,2011-01-27 13:29:00,2011-07-19 13:42:00,Germany,173,142
12471,-22,18705.52,35.29343396226415,7953,71,Thursday,9,152,2010-12-02 10:37:00,2011-12-07 15:43:00,Germany,370,1
12472,-39,6229.48,15.932173913043478,4020,52,Wednesday,14,226,2010-12-01 14:33:00,2011-11-09 11:33:00,Germany,342,30
12473,-2,2837.73,15.942303370786517,2338,11,Monday,11,140,2011-06-01 10:15:00,2011-11-10 13:48:00,Germany,162,28
12474,-3,7064.7699999999995,15.526967032967033,4750,33,Tuesday,10,253,2010-12-06 12:00:00,2011-11-22 14:39:00,Germany,351,16
12475,1,723.38,20.093888888888888,535,0,Monday,10,36,2011-10-17 10:10:00,2011-10-17 10:10:00,Germany,0,53
12476,-11,6546.58,24.797651515151514,2337,31,Thursday,10,177,2010-12-13 14:37:00,2011-12-08 14:08:00,Germany,359,0
12477,1,13117.01,42.58769480519481,3620,8,Friday,9,192,2011-02-01 11:09:00,2011-11-17 09:51:00,Germany,288,22
12478,1,680.99,18.91638888888889,236,0,Tuesday,9,36,2011-12-06 09:56:00,2011-12-06 09:56:00,Greece,0,3
12479,-1,477.3,13.637142857142857,351,4,Monday,13,31,2011-11-28 13:26:00,2011-12-06 09:25:00,Germany,7,3
12480,4,3281.63,21.309285714285714,1707,0,Friday,14,129,2011-01-07 15:27:00,2011-11-11 14:52:00,Germany,307,27
12481,10,5574.36,25.688294930875575,3280,1,Monday,10,150,2010-12-09 10:13:00,2011-11-17 08:29:00,Germany,342,22
12483,7,2327.13,28.73,1097,6,Tuesday,11,46,2011-01-04 14:20:00,2011-11-22 17:03:00,Sweden,322,16
12484,4,4480.87,12.913170028818444,2181,4,Friday,13,256,2011-01-07 14:04:00,2011-11-07 11:37:00,Spain,303,32
12488,3,1298.66,23.612000000000002,529,0,Wednesday,10,46,2011-09-25 10:34:00,2011-11-30 08:50:00,France,65,9
12489,1,334.93,22.328666666666667,105,0,Friday,13,15,2011-01-07 13:13:00,2011-01-07 13:13:00,France,0,335
12490,10,5417.93,22.114,3064,0,Wednesday,13,131,2011-01-14 09:13:00,2011-12-04 16:07:00,France,324,4
12491,1,460.40000000000003,17.70769230769231,260,0,Tuesday,12,25,2011-11-01 12:18:00,2011-11-01 12:18:00,France,0,38
12492,2,263.21000000000004,13.160500000000003,192,0,Friday,15,19,2011-08-26 14:51:00,2011-10-07 15:15:00,Germany,42,62
12493,2,416.79,18.121304347826086,206,1,Thursday,14,20,2011-05-26 14:53:00,2011-06-27 10:17:00,France,31,165
12494,6,1139.3500000000001,13.563690476190478,690,7,Thursday,13,63,2010-12-09 11:31:00,2011-11-30 09:21:00,France,355,9
12497,1,1043.1,74.50714285714285,1236,0,Monday,12,14,2011-09-19 12:29:00,2011-09-19 12:29:00,Germany,0,81
12498,3,403.70000000000005,17.55217391304348,159,0,Thursday,9,21,2011-10-13 09:30:00,2011-11-18 12:53:00,Germany,36,20
12500,9,4206.27,64.71184615384617,2671,4,Friday,10,34,2011-01-10 09:48:00,2011-11-16 16:20:00,Germany,310,22
12501,-9,2089.68,13.0605,1722,11,Friday,12,149,2011-01-07 12:28:00,2011-01-28 13:54:00,Germany,21,314
12502,5,3723.87,25.332448979591835,820,0,Thursday,11,102,2011-02-03 10:41:00,2011-09-05 11:52:00,Spain,214,95
12503,0,-1126.0,-1126.0,-1,1,Thursday,11,1,2011-01-06 11:51:00,2011-01-06 11:51:00,Spain,0,337
12504,-2,114.0,7.6,51,6,Monday,14,6,2011-11-09 14:56:00,2011-11-21 16:02:00,Germany,12,17
12505,0,-4.5,-4.5,-1,1,Friday,13,1,2011-02-11 13:39:00,2011-02-11 13:39:00,Italy,0,300
12506,1,73.5,3.1956521739130435,23,0,Thursday,8,23,2011-04-21 08:54:00,2011-04-21 08:54:00,France,0,232
12507,3,1258.06,54.69826086956522,894,1,Monday,9,19,2011-02-14 09:24:00,2011-07-28 17:09:00,Spain,164,133
12508,2,397.88,5.851176470588236,271,0,Thursday,16,57,2011-11-10 16:27:00,2011-11-13 15:37:00,France,2,25
12509,1,176.5,25.214285714285715,55,0,Monday,14,7,2011-02-28 14:45:00,2011-02-28 14:45:00,France,0,283
12510,2,982.5699999999999,29.774848484848484,353,0,Tuesday,14,29,2011-01-18 14:04:00,2011-07-20 10:15:00,Spain,182,142
12512,2,132.18,4.263870967741935,96,0,Tuesday,14,31,2011-10-04 14:53:00,2011-10-04 14:55:00,Israel,0,65
12513,1,586.79,16.299722222222222,456,1,Friday,10,35,2011-08-19 10:51:00,2011-09-16 12:45:00,France,28,84
12514,1,1017.68,19.954509803921567,440,0,Thursday,16,51,2011-03-17 16:38:00,2011-03-17 16:38:00,Italy,0,266
12515,1,383.7,23.98125,131,0,Tuesday,15,16,2010-12-21 15:43:00,2010-12-21 15:43:00,Italy,0,352
12516,2,1312.06,50.46384615384615,875,0,Friday,9,20,2011-06-12 11:37:00,2011-09-23 09:13:00,Germany,102,77
12517,4,2443.65,8.69626334519573,1338,2,Thursday,15,232,2011-06-02 15:13:00,2011-11-11 14:04:00,Germany,161,27
12518,5,2056.89,16.58782258064516,1318,0,Friday,10,84,2011-08-21 13:18:00,2011-12-09 10:13:00,Germany,109,0
12519,1,330.84,19.461176470588235,175,0,Friday,9,17,2011-10-07 09:26:00,2011-10-07 09:26:00,Germany,0,63
12520,3,2582.51,16.66135483870968,1430,3,Friday,11,121,2011-03-11 11:35:00,2011-09-21 15:23:00,Germany,194,78
12521,1,599.68,15.781052631578946,309,0,Wednesday,10,38,2011-07-20 10:51:00,2011-07-20 10:51:00,Germany,0,142
12522,2,192.72,16.06,194,0,Monday,14,11,2011-10-19 14:41:00,2011-10-31 15:30:00,Germany,12,38
12523,9,1745.57,15.868818181818181,861,4,Wednesday,9,84,2011-01-12 09:43:00,2011-12-08 11:46:00,France,330,1
12524,8,4485.72,31.150833333333335,3699,0,Thursday,13,113,2011-01-10 10:35:00,2011-11-30 15:31:00,Germany,324,8
12526,3,1316.66,18.54450704225352,632,0,Monday,9,64,2011-09-06 14:19:00,2011-12-09 12:09:00,Germany,93,0
12527,3,348.71000000000004,19.37277777777778,234,0,Tuesday,12,18,2011-01-18 12:05:00,2011-09-19 11:55:00,Germany,243,81
12528,5,1922.28,20.234526315789473,750,3,Wednesday,9,50,2011-01-31 09:05:00,2011-11-30 14:40:00,Germany,303,8
12530,3,1623.63,23.876911764705884,900,2,Tuesday,10,51,2011-01-07 10:04:00,2011-10-11 12:34:00,Germany,277,59
12531,1,125.22,7.365882352941177,45,0,Friday,11,17,2011-11-25 11:12:00,2011-11-25 11:12:00,Germany,0,14
12532,1,349.83000000000004,21.864375000000003,153,0,Wednesday,13,16,2011-11-09 13:47:00,2011-11-09 13:47:00,France,0,29
12534,1,1089.18,17.28857142857143,651,0,Monday,10,63,2011-08-01 10:26:00,2011-08-01 10:26:00,Germany,0,130
12535,2,716.35,21.069117647058825,219,0,Monday,12,28,2011-06-06 12:47:00,2011-09-09 08:48:00,France,94,91
12536,-7,4106.82,15.043296703296702,2652,12,Tuesday,14,260,2011-10-11 14:52:00,2011-12-02 12:43:00,France,51,7
12538,1,363.95,17.33095238095238,191,0,Thursday,17,21,2011-11-10 17:16:00,2011-11-10 17:16:00,Spain,0,28
12539,4,3852.5,14.06021897810219,2066,1,Thursday,9,158,2011-01-10 09:11:00,2011-11-17 13:30:00,Spain,311,21
12540,16,13309.039999999999,27.669521829521827,6677,3,Tuesday,10,278,2010-12-13 09:39:00,2011-11-20 11:31:00,Spain,342,19
12541,3,981.18,18.868846153846153,680,0,Thursday,10,46,2011-03-04 09:32:00,2011-11-10 10:40:00,Spain,251,29
12544,1,355.7,17.785,132,1,Thursday,16,19,2011-11-03 16:15:00,2011-11-10 11:12:00,Spain,6,29
12545,2,1000.39,20.0078,523,0,Friday,12,42,2011-03-25 12:04:00,2011-09-25 13:39:00,Spain,184,74
12546,2,1141.5,16.307142857142857,617,1,Friday,9,59,2011-09-23 09:44:00,2011-10-24 12:09:00,Spain,31,46
12547,2,207.79999999999998,25.974999999999998,134,0,Friday,12,7,2011-03-04 12:46:00,2011-05-26 12:38:00,Spain,82,197
12548,1,95.19999999999999,19.04,49,0,Sunday,15,5,2011-06-26 15:35:00,2011-06-26 15:35:00,Spain,0,165
12550,1,964.83,16.92684210526316,569,0,Wednesday,14,57,2011-09-21 14:35:00,2011-09-21 14:35:00,Spain,0,78
12551,1,168.0,16.8,100,0,Friday,11,10,2010-12-17 11:23:00,2010-12-17 11:23:00,Spain,0,357
12552,2,437.82,21.891,88,0,Monday,12,20,2011-10-31 12:11:00,2011-11-01 10:02:00,Italy,0,38
12553,9,3652.25,18.633928571428573,1924,5,Friday,10,95,2011-01-14 10:42:00,2011-12-01 16:38:00,France,321,7
12556,2,599.56,5.038319327731092,355,0,Monday,13,100,2011-07-11 13:35:00,2011-10-20 13:06:00,Spain,100,49
12557,5,11990.960000000001,363.36242424242425,4384,0,Monday,13,15,2010-12-03 12:20:00,2011-11-23 16:59:00,Spain,355,15
12558,-9,1.0658141036401503e-14,4.844609562000683e-16,0,11,Friday,10,11,2011-12-02 10:41:00,2011-12-08 10:14:00,USA,5,1
12559,2,536.21,24.37318181818182,281,1,Monday,10,21,2011-01-24 10:12:00,2011-02-02 09:49:00,Germany,8,310
12560,-2,2101.39,18.93144144144144,1078,6,Tuesday,15,92,2011-07-19 15:55:00,2011-12-04 13:54:00,Germany,137,4
12561,1,238.85,14.928125,177,0,Thursday,11,16,2011-02-10 11:39:00,2011-02-10 11:39:00,Germany,0,302
12562,7,3781.7400000000002,22.510357142857146,1779,0,Thursday,8,99,2011-05-25 12:44:00,2011-12-01 17:20:00,France,190,7
12564,1,456.9,21.757142857142856,133,0,Wednesday,14,21,2011-03-23 14:55:00,2011-03-23 14:55:00,France,0,260
12565,1,131.17,13.116999999999999,75,1,Thursday,10,9,2011-02-24 10:34:00,2011-03-03 11:43:00,Saudi Arabia,7,281
12566,1,346.7,17.335,264,1,Wednesday,14,19,2011-09-14 14:30:00,2011-09-28 09:57:00,Germany,13,72
12567,-6,9114.94,19.686695464362852,4089,17,Sunday,11,323,2010-12-05 11:57:00,2011-11-17 11:02:00,France,346,22
12569,32,4064.9900000000002,21.282670157068065,1793,3,Thursday,14,92,2011-04-01 13:47:00,2011-12-07 16:24:00,Germany,250,1
12571,2,519.61,15.28264705882353,523,0,Monday,10,31,2011-08-10 12:35:00,2011-10-31 10:19:00,France,81,39
12572,1,1004.72,16.205161290322582,450,2,Wednesday,8,53,2011-10-19 08:20:00,2011-12-01 09:20:00,Germany,43,8
12573,1,160.54000000000002,5.733571428571429,84,0,Tuesday,15,26,2011-04-26 15:52:00,2011-04-26 15:52:00,France,0,226
12574,1,218.45,19.85909090909091,61,0,Friday,9,11,2011-01-28 09:20:00,2011-01-28 09:20:00,France,0,315
12576,5,1306.98,14.685168539325844,964,1,Friday,10,72,2011-02-08 11:31:00,2011-11-04 10:11:00,Poland,268,35
12577,3,564.2,3.8380952380952382,463,1,Friday,13,137,2010-12-15 16:21:00,2011-11-04 13:28:00,France,323,34
12578,-2,2753.36,22.944666666666667,1171,6,Thursday,15,112,2011-01-05 10:46:00,2011-11-18 13:30:00,Italy,317,20
12579,1,410.72,13.249032258064517,278,2,Thursday,17,29,2011-09-22 17:15:00,2011-09-27 13:57:00,France,4,72
12580,1,415.7,17.320833333333333,238,0,Thursday,10,24,2011-04-07 10:24:00,2011-04-07 10:24:00,Germany,0,246
12581,1,197.71,13.180666666666667,161,0,Monday,8,15,2011-10-31 08:56:00,2011-10-31 08:56:00,Germany,0,39
12582,2,511.36,23.243636363636366,300,0,Thursday,11,21,2011-02-24 11:42:00,2011-04-15 08:45:00,Finland,49,238
12583,14,7187.34,28.634820717131475,5009,4,Friday,12,115,2010-12-01 08:45:00,2011-12-07 08:07:00,France,370,2
12584,-12,1893.95,15.031349206349207,354,30,Tuesday,13,44,2011-03-04 15:15:00,2011-12-06 09:35:00,Italy,276,3
12585,-6,1982.81,20.441340206185565,1258,10,Thursday,12,77,2010-12-23 12:58:00,2011-04-19 13:39:00,Germany,117,233
12586,1,179.94000000000003,14.995000000000003,77,1,Tuesday,16,12,2010-12-06 09:31:00,2011-11-22 16:24:00,Italy,351,16
12587,1,144.0,36.0,51,0,Friday,12,4,2011-12-02 12:47:00,2011-12-02 12:47:00,Finland,0,7
12588,1,214.89999999999998,21.49,53,0,Monday,15,10,2011-10-31 15:01:00,2011-10-31 15:01:00,Finland,0,38
12589,2,646.68,18.47657142857143,306,0,Friday,10,29,2011-07-18 12:05:00,2011-11-11 10:19:00,France,115,28
12590,1,9861.38,140.87685714285712,4279,2,Thursday,14,68,2011-05-12 14:46:00,2011-06-02 14:25:00,Germany,20,189
12591,1,452.84999999999997,17.41730769230769,228,0,Wednesday,14,26,2011-01-26 14:35:00,2011-01-26 14:35:00,Italy,0,316
12592,2,437.6,24.311111111111114,290,0,Thursday,13,11,2011-05-10 13:44:00,2011-09-08 15:04:00,Germany,121,91
12593,3,418.09999999999997,19.909523809523808,206,0,Thursday,9,14,2011-05-05 09:29:00,2011-08-23 12:43:00,France,110,108
12594,10,3320.2200000000003,27.901008403361345,1776,1,Monday,12,50,2011-01-21 09:52:00,2011-11-02 12:20:00,Italy,285,37
12596,2,618.27,22.898888888888887,474,0,Monday,13,25,2011-04-11 13:22:00,2011-10-19 13:02:00,Spain,190,50
12597,-3,3683.13,17.21088785046729,2187,8,Sunday,13,184,2011-03-16 14:00:00,2011-11-20 13:33:00,Spain,248,18
12598,8,3002.68,22.57654135338346,1940,1,Friday,12,84,2011-02-28 11:58:00,2011-11-30 12:18:00,France,275,9
12599,7,1032.58,16.654516129032256,956,0,Tuesday,13,32,2011-02-08 13:28:00,2011-11-10 13:34:00,France,275,28
12600,10,2581.04,39.70830769230769,773,1,Friday,10,32,2010-12-03 12:57:00,2011-11-11 10:29:00,Germany,342,28
12601,5,569.5600000000001,19.64,244,1,Thursday,10,21,2011-01-11 10:38:00,2011-06-03 10:17:00,Germany,142,189
12602,1,153.12,12.76,162,0,Wednesday,11,12,2011-10-12 11:22:00,2011-10-12 11:22:00,France,0,58
12603,1,739.1999999999999,246.39999999999998,64,0,Friday,10,3,2011-11-18 10:42:00,2011-11-18 10:42:00,Germany,0,21
12604,2,254.18,15.88625,201,0,Wednesday,12,15,2011-03-23 12:06:00,2011-09-21 14:08:00,France,182,78
